epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,247.376,0.68993,0.86039,1.0052,0.94927,1,0.99227,0.87143,0.53256,0.56461,0.9535,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,253.571,0.68622,0.85942,0.99951,0.97156,0.98503,0.9913,0.87149,0.54205,0.57379,0.95572,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,259.726,0.65745,0.85811,0.99523,0.96187,0.98539,0.99141,0.87243,0.53754,0.56388,0.95306,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,265.875,0.65132,0.83188,0.99251,0.95331,0.99434,0.99131,0.86303,0.5348,0.54763,0.96899,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,272.047,0.62733,0.82586,0.9843,0.97332,0.98122,0.99271,0.87637,0.52672,0.52771,0.95885,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,278.241,0.63165,0.83357,0.97372,0.95968,0.99254,0.99272,0.87321,0.50466,0.50945,0.94206,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,284.402,0.62457,0.81522,0.97606,0.99717,0.94706,0.9921,0.87707,0.52775,0.51191,0.95215,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,290.543,0.62286,0.79445,0.97842,0.96496,0.99531,0.99341,0.88041,0.5017,0.48756,0.94148,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,296.719,0.61383,0.77031,0.96436,0.97814,0.99061,0.99356,0.89127,0.46674,0.47621,0.92812,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,302.875,0.62774,0.79952,0.97465,0.97809,0.98032,0.99309,0.90039,0.45329,0.47248,0.92721,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,309.073,0.5943,0.77243,0.95607,0.97251,0.98512,0.99207,0.89091,0.47586,0.46871,0.92662,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,319.676,0.52687,0.81525,0.92081,0.98251,0.983,0.99383,0.89099,0.45594,0.48872,0.91967,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,325.853,0.50363,0.8174,0.90375,0.97732,0.97972,0.99361,0.89243,0.45879,0.48835,0.92547,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
43,331.985,0.476,0.78573,0.89335,0.96939,0.99531,0.99377,0.8996,0.45391,0.46975,0.92285,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
44,338.125,0.46585,0.7789,0.88833,0.96748,0.99736,0.99418,0.89845,0.43662,0.45934,0.90981,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
45,344.27,0.44392,0.76654,0.8764,0.97046,0.99427,0.99378,0.89528,0.43957,0.45517,0.91075,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
46,350.523,0.43885,0.75606,0.87685,0.96875,0.99525,0.99378,0.90603,0.4282,0.44697,0.90329,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
47,356.702,0.42542,0.74669,0.87214,0.96801,0.995,0.9939,0.90013,0.42948,0.44785,0.90403,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
48,362.826,0.42774,0.73559,0.87552,0.96944,0.9951,0.99385,0.90987,0.42077,0.43999,0.90156,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
49,369.014,0.42238,0.73899,0.86742,0.96905,1,0.99401,0.90955,0.41323,0.43536,0.89911,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
50,375.144,0.44295,0.74742,0.8819,0.97012,0.99805,0.99399,0.9057,0.42184,0.43773,0.90111,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
